query_id,doc_type,query_time,precision_score,recall_score
39688af2,shipping_order,2.4018797874450684,2,1
39688af2,warehouse_policy,2.4018797874450684,2,1
39688af2,customer_requirement,2.4018797874450684,2,1
06661746,shipping_order,2.1536378860473633,2,1
06661746,warehouse_policy,2.1536378860473633,2,1
06661746,customer_requirement,2.1536378860473633,2,1
112efec8,shipping_order,2.1024279594421387,2,1
112efec8,warehouse_policy,2.1024279594421387,2,1
112efec8,customer_requirement,2.1024279594421387,2,1
9de9952b,shipping_order,2.066192865371704,2,1
9de9952b,warehouse_policy,2.066192865371704,2,1
9de9952b,customer_requirement,2.066192865371704,2,1
cc416e15,shipping_order,2.0505964756011963,2,1
cc416e15,warehouse_policy,2.0505964756011963,2,1
cc416e15,customer_requirement,2.0505964756011963,2,1
2a4e7873,shipping_order,2.038790464401245,2,1
2a4e7873,warehouse_policy,2.038790464401245,2,1
2a4e7873,customer_requirement,2.038790464401245,2,1
2c1a6ee1,shipping_order,2.020111560821533,2,1
2c1a6ee1,warehouse_policy,2.020111560821533,2,1
2c1a6ee1,customer_requirement,2.020111560821533,2,1
f43fca3c,shipping_order,1.9443228244781494,2,1
f43fca3c,warehouse_policy,1.9443228244781494,2,1
f43fca3c,customer_requirement,1.9443228244781494,2,1
d337da58,shipping_order,1.923943042755127,2,1
d337da58,warehouse_policy,1.923943042755127,2,1
d337da58,customer_requirement,1.923943042755127,2,1
cb42ac9d,shipping_order,1.9201018810272217,2,1
cb42ac9d,warehouse_policy,1.9201018810272217,2,1
cb42ac9d,customer_requirement,1.9201018810272217,2,1
057999d4,shipping_order,1.9051513671875,2,1
057999d4,warehouse_policy,1.9051513671875,2,1
057999d4,customer_requirement,1.9051513671875,2,1
8823de16,shipping_order,1.9043478965759277,2,1
8823de16,warehouse_policy,1.9043478965759277,2,1
8823de16,customer_requirement,1.9043478965759277,2,1
2485c77b,shipping_order,1.8991947174072266,2,1
2485c77b,warehouse_policy,1.8991947174072266,2,1
2485c77b,customer_requirement,1.8991947174072266,2,1
64447846,shipping_order,1.8945112228393555,2,1
64447846,warehouse_policy,1.8945112228393555,2,1
64447846,customer_requirement,1.8945112228393555,2,1
fb65b78f,shipping_order,1.8914074897766113,2,1
fb65b78f,warehouse_policy,1.8914074897766113,2,1
fb65b78f,customer_requirement,1.8914074897766113,2,1
a06cb38c,shipping_order,1.8778655529022217,2,1
a06cb38c,warehouse_policy,1.8778655529022217,2,1
a06cb38c,customer_requirement,1.8778655529022217,2,1
21f4750a,shipping_order,1.869056224822998,2,1
21f4750a,warehouse_policy,1.869056224822998,2,1
